Course,Equivalent
AAS 200,LLS 200
AAS 201,AFRO 201
AAS 201,LLS 201
AAS 201,PS 201
AAS 215,AFRO 215
AAS 215,AIS 295
AAS 215,GWS 215
AAS 215,LLS 215
AAS 224,SOC 224
AAS 258,LLS 258
AAS 258,REL 258
AAS 260,THEA 260
AAS 265,LLS 265
AAS 275,GWS 275
AAS 281,AFRO 281
AAS 281,HIST 281
AAS 281,LLS 281
AAS 282,GWS 282
AAS 282,LLS 282
AAS 283,HIST 283
AAS 286,ENGL 286
AAS 288,GWS 288
AAS 291,REL 291
AAS 297,HDFS 221
AAS 297,SOCW 297
AAS 300,GWS 305
AAS 300,LLS 305
AAS 310,AFRO 310
AAS 310,EPS 310
AAS 310,LLS 310
AAS 315,GWS 315
AAS 317,PS 317
AAS 328,SOC 328
AAS 343,AFRO 343
AAS 343,AIS 343
AAS 343,GWS 343
AAS 343,LLS 343
AAS 346,HDFS 341
AAS 355,LLS 355
AAS 355,SOC 355
AAS 365,MACS 365
AAS 370,LLS 372
AAS 375,LLS 377
AAS 400,LLS 460
AAS 402,EPS 402
AAS 435,AFRO 435
AAS 435,GWS 435
AAS 435,LLS 435
AAS 435,MACS 432
AAS 464,ANTH 464
AAS 464,GWS 464
AAS 464,REL 464
AAS 465,AFRO 465
AAS 465,GWS 465
AAS 465,LLS 465
AAS 479,ANTH 479
AAS 479,LLS 479
AAS 539,EPS 539
AAS 539,HDFS 539
AAS 561,AFRO 531
AAS 561,ANTH 565
AAS 561,GWS 561
AAS 561,LLS 561
ABE 430,TSM 430
ABE 440,ANSC 440
ABE 440,CPSC 440
ABE 440,FSHN 440
ABE 440,NRES 440
ABE 445,ANSC 445
ABE 445,NRES 445
ABE 482,FSHN 469
ACCY 321,ACE 321
ACCY 321,BADM 303
ACCY 321,PS 321
ACCY 595,PSYC 534
ACE 210,ECON 210
ACE 210,ENVS 210
ACE 210,NRES 210
ACE 210,UP 210
ACE 254,AFST 254
ACE 310,ENVS 310
ACE 310,NRES 310
ACE 321,ACCY 321
ACE 321,BADM 303
ACE 321,PS 321
ACE 430,FSHN 425
ACE 431,BADM 438
ACE 436,BADM 436
ACE 452,ECON 452
ACE 502,ECON 553
ACE 510,ECON 548
ACE 510,ENVS 510
ACE 510,NRES 510
ACE 516,ECON 549
ACE 552,UP 552
ACE 555,UP 555
ADV 315,AGCM 315
ADV 492,CS 468
AE 410,CSE 461
AE 412,ME 411
AE 420,CSE 451
AE 420,ME 471
AE 427,MSE 454
AE 427,TAM 427
AE 428,MSE 456
AE 428,TAM 428
AE 456,ECE 456
AE 468,ECE 468
AE 482,ECE 470
AE 482,ME 445
AE 510,ME 510
AE 521,CEE 575
AE 524,ME 570
AE 529,TAM 529
AE 538,ME 501
AE 551,TAM 514
AE 554,TAM 516
AE 555,SE 521
AE 583,ECE 550
AFAS 120,MILS 120
AFAS 120,NS 120
AFRO 101,HIST 174
AFRO 103,AFST 103
AFRO 103,GWS 103
AFRO 105,ENGL 150
AFRO 106,ANTH 106
AFRO 201,AAS 201
AFRO 201,LLS 201
AFRO 201,PS 201
AFRO 211,MACS 211
AFRO 212,THEA 263
AFRO 215,AAS 215
AFRO 215,AIS 295
AFRO 215,GWS 215
AFRO 215,LLS 215
AFRO 221,HIST 219
AFRO 221,LA 221
AFRO 224,CWL 226
AFRO 226,GWS 226
AFRO 226,SOC 223
AFRO 227,MACS 227
AFRO 231,SHS 231
AFRO 243,AFST 243
AFRO 243,PS 243
AFRO 259,CWL 259
AFRO 259,ENGL 259
AFRO 260,CWL 260
AFRO 260,ENGL 260
AFRO 261,ANTH 261
AFRO 272,ENGL 272
AFRO 275,HIST 275
AFRO 276,HIST 276
AFRO 281,AAS 281
AFRO 281,HIST 281
AFRO 281,LLS 281
AFRO 287,GWS 287
AFRO 287,HIST 287
AFRO 290,HIST 284
AFRO 310,AAS 310
AFRO 310,EPS 310
AFRO 310,LLS 310
AFRO 312,PSYC 312
AFRO 315,PS 315
AFRO 340,DANC 340
AFRO 341,PS 341
AFRO 342,SOC 325
AFRO 343,AAS 343
AFRO 343,AIS 343
AFRO 343,GWS 343
AFRO 343,LLS 343
AFRO 372,HIST 384
AFRO 378,HIST 389
AFRO 380,GWS 380
AFRO 381,MACS 381
AFRO 382,HDFS 324
AFRO 383,GWS 383
AFRO 383,HIST 383
AFRO 400,CWL 400
AFRO 407,HIST 407
AFRO 410,PSYC 410
AFRO 411,PSYC 416
AFRO 415,AFST 420
AFRO 415,GWS 415
AFRO 421,EPS 421
AFRO 421,HDFS 424
AFRO 435,AAS 435
AFRO 435,GWS 435
AFRO 435,LLS 435
AFRO 435,MACS 432
AFRO 453,HIST 470
AFRO 460,HIST 482
AFRO 465,AAS 465
AFRO 465,GWS 465
AFRO 465,LLS 465
AFRO 466,HIST 483
AFRO 474,HIST 478
AFRO 481,SOC 472
AFRO 481,UP 481
AFRO 482,JOUR 482
AFRO 501,HIST 575
AFRO 531,AAS 561
AFRO 531,ANTH 565
AFRO 531,GWS 561
AFRO 531,LLS 561
AFRO 552,HDFS 543
AFRO 552,SOC 578
AFRO 552,UP 578
AFRO 560,AFST 560
AFRO 562,ANTH 562
AFST 103,AFRO 103
AFST 103,GWS 103
AFST 209,CWL 225
AFST 209,FR 240
AFST 209,LAST 240
AFST 210,CWL 210
AFST 210,ENGL 211
AFST 213,HIST 213
AFST 213,REL 215
AFST 222,ANTH 222
AFST 222,PS 242
AFST 222,SOC 222
AFST 231,SWAH 201
AFST 232,SWAH 202
AFST 241,WLOF 201
AFST 242,WLOF 202
AFST 243,AFRO 243
AFST 243,PS 243
AFST 251,ZULU 201
AFST 252,ZULU 202
AFST 254,ACE 254
AFST 266,ANTH 266
AFST 312,ARTH 312
AFST 313,ARTH 313
AFST 325,EPS 325
AFST 325,ASST 325
AFST 325,EURO 325
AFST 325,INFO 325
AFST 325,LAST 325
AFST 325,REES 325
AFST 325,SAME 325
AFST 338,HIST 338
AFST 405,SWAH 407
AFST 406,SWAH 408
AFST 407,SWAH 409
AFST 408,SWAH 410
AFST 410,CWL 410
AFST 410,ENGL 470
AFST 410,FR 410
AFST 412,LING 412
AFST 418,LGLA 408
AFST 420,AFRO 415
AFST 420,GWS 415
AFST 421,ARTH 413
AFST 425,HIST 412
AFST 433,SWAH 403
AFST 434,SWAH 404
AFST 435,SWAH 405
AFST 436,SWAH 406
AFST 443,WLOF 403
AFST 444,WLOF 404
AFST 445,WLOF 405
AFST 446,WLOF 406
AFST 447,WLOF 407
AFST 451,ZULU 403
AFST 452,ZULU 404
AFST 453,ZULU 405
AFST 454,ZULU 406
AFST 467,ANTH 469
AFST 469,LING 469
AFST 509,ARTH 510
AFST 510,HIST 510
AFST 511,HIST 511
AFST 555,CI 512
AFST 560,AFRO 560
AGCM 220,ENVS 220
AGCM 220,NRES 220
AGCM 315,ADV 315
AGCM 330,ENVS 330
AGCM 330,NRES 330
AGCM 430,ENVS 430
AGCM 430,NRES 430
AHS 365,CHLH 365
AHS 365,KIN 365
AHS 365,RST 365
AHS 365,SHS 370
AHS 375,KIN 375
AHS 375,SHS 375
AIS 165,ANTH 165
AIS 265,ENGL 265
AIS 275,ENGL 275
AIS 275,MACS 275
AIS 277,HIST 277
AIS 278,HIST 278
AIS 288,ANTH 288
AIS 288,HIST 288
AIS 295,AAS 215
AIS 295,AFRO 215
AIS 295,GWS 215
AIS 295,LLS 215
AIS 343,AAS 343
AIS 343,AFRO 343
AIS 343,GWS 343
AIS 343,LLS 343
AIS 459,ENGL 459
AIS 461,MACS 461
AIS 481,EPS 481
ANSC 366,ANTH 342
ANSC 366,IB 329
ANSC 366,PSYC 329
ANSC 440,ABE 440
ANSC 440,CPSC 440
ANSC 440,FSHN 440
ANSC 440,NRES 440
ANSC 441,ANTH 441
ANSC 445,ABE 445
ANSC 445,NRES 445
ANSC 446,IB 416
ANSC 448,IB 487
ANSC 448,STAT 458
ANSC 449,CPSC 448
ANSC 449,GEOG 468
ANSC 449,IB 491
ANSC 450,MCB 442
ANSC 450,PATH 410
ANSC 510,VCM 510
ANSC 520,NUTR 520
ANSC 521,FSHN 511
ANSC 521,NUTR 511
ANSC 523,NUTR 523
ANSC 524,NUTR 524
ANSC 525,FSHN 510
ANSC 525,NUTR 510
ANSC 533,MCB 533
ANSC 533,CB 533
ANSC 541,CPSC 541
ANSC 542,CPSC 569
ANSC 542,IB 506
ANSC 543,CHBE 571
ANSC 543,MCB 571
ANSC 543,STAT 530
ANSC 545,CPSC 545
ANSC 545,IB 507
ANSC 554,PATH 544
ANSC 590,NUTR 591
ANSC 591,CPSC 591
ANSC 591,INFO 591
ANSC 591,IS 583
ANTH 104,LING 104
ANTH 106,AFRO 106
ANTH 108,JS 108
ANTH 108,PHIL 108
ANTH 108,REL 108
ANTH 109,PHIL 109
ANTH 109,REL 109
ANTH 130,HIST 130
ANTH 143,HDFS 143
ANTH 165,AIS 165
ANTH 210,HDFS 220
ANTH 222,AFST 222
ANTH 222,PS 242
ANTH 222,SOC 222
ANTH 223,LA 220
ANTH 225,GWS 225
ANTH 250,MUSE 250
ANTH 258,GWS 258
ANTH 259,LLS 259
ANTH 261,AFRO 261
ANTH 262,GWS 262
ANTH 266,AFST 266
ANTH 272,GLBL 272
ANTH 272,SAME 272
ANTH 272,TURK 270
ANTH 285,EALC 285
ANTH 286,ASST 286
ANTH 286,HIST 225
ANTH 287,EALC 288
ANTH 288,AIS 288
ANTH 288,HIST 288
ANTH 290,JS 290
ANTH 340,REL 342
ANTH 341,REL 341
ANTH 342,ANSC 366
ANTH 342,IB 329
ANTH 342,PSYC 329
ANTH 360,IB 360
ANTH 361,IB 361
ANTH 370,LLS 370
ANTH 373,PSYC 373
ANTH 393,HIST 393
ANTH 393,REL 393
ANTH 402,ASST 402
ANTH 402,REL 409
ANTH 403,GLBL 403
ANTH 403,GWS 403
ANTH 403,HIST 434
ANTH 403,REL 403
ANTH 403,SAME 403
ANTH 404,CHLH 407
ANTH 404,KIN 407
ANTH 404,REHB 407
ANTH 416,MUS 416
ANTH 425,EPS 425
ANTH 425,EPSY 466
ANTH 432,IB 432
ANTH 432,NEUR 432
ANTH 432,PSYC 432
ANTH 436,ESE 439
ANTH 436,GEOG 436
ANTH 436,IB 439
ANTH 436,NRES 441
ANTH 441,ANSC 441
ANTH 453,LA 454
ANTH 460,LA 460
ANTH 460,RST 459
ANTH 462,ARTH 462
ANTH 462,LA 472
ANTH 463,REL 463
ANTH 464,AAS 464
ANTH 464,GWS 464
ANTH 464,REL 464
ANTH 465,ASST 465
ANTH 469,AFST 467
ANTH 472,LLS 472
ANTH 479,AAS 479
ANTH 479,LLS 479
ANTH 486,ASST 486
ANTH 504,HIST 519
ANTH 508,GWS 508
ANTH 512,LING 512
ANTH 514,PSYC 514
ANTH 514,CS 549
ANTH 514,EPSY 551
ANTH 514,LING 570
ANTH 514,PHIL 514
ANTH 518,LING 518
ANTH 557,LA 562
ANTH 560,LAW 678
ANTH 562,AFRO 562
ANTH 565,AAS 561
ANTH 565,AFRO 531
ANTH 565,GWS 561
ANTH 565,LLS 561
ANTH 570,RST 570
ANTH 594,LA 594
ARAB 150,SAME 150
ARAB 413,TRST 413
ARCH 222,LA 222
ARCH 314,LA 314
ARCH 410,CLCV 410
ARCH 411,CLCV 411
ARCH 412,MDVL 412
ARCH 424,GWS 424
ARCH 510,LA 513
ARCH 512,MDVL 512
ARCH 563,LA 563
ARTD 230,TE 230
ARTE 350,DANC 350
ARTE 350,HDFS 361
ARTH 111,MDVL 111
ARTH 114,EALC 114
ARTH 215,CLCV 217
ARTH 217,CLCV 231
ARTH 218,CLCV 232
ARTH 218,REL 232
ARTH 222,MDVL 222
ARTH 231,MDVL 231
ARTH 260,LLS 260
ARTH 312,AFST 312
ARTH 313,AFST 313
ARTH 342,LAST 342
ARTH 343,LAST 343
ARTH 360,GWS 360
ARTH 402,EALC 402
ARTH 403,EALC 403
ARTH 413,AFST 421
ARTH 415,CLCV 443
ARTH 416,CLCV 444
ARTH 423,MDVL 423
ARTH 424,MDVL 424
ARTH 431,MDVL 431
ARTH 433,MDVL 433
ARTH 462,ANTH 462
ARTH 462,LA 472
ARTH 501,EALC 501
ARTH 510,AFST 509
ARTH 515,CLCV 515
ARTH 520,CLCV 520
ARTH 522,MDVL 522
ARTH 531,MDVL 540
ASRM 401,STAT 408
ASRM 402,STAT 409
ASRM 450,STAT 420
ASRM 451,STAT 432
ASRM 453,STAT 431
ASRM 551,CSE 542
ASRM 551,STAT 542
ASRM 552,STAT 541
ASST 104,REL 104
ASST 208,CWL 208
ASST 208,REL 208
ASST 208,SAME 208
ASST 218,LA 218
ASST 286,ANTH 286
ASST 286,HIST 225
ASST 325,EPS 325
ASST 325,AFST 325
ASST 325,EURO 325
ASST 325,INFO 325
ASST 325,LAST 325
ASST 325,REES 325
ASST 325,SAME 325
ASST 346,PS 346
ASST 347,PS 347
ASST 402,ANTH 402
ASST 402,REL 409
ASST 465,ANTH 465
ASST 486,ANTH 486
ASTR 450,CHEM 450
ASTR 451,CHEM 451
ASTR 504,PHYS 542
ASTR 515,PHYS 515
ASTR 516,PHYS 516
ASTR 540,PHYS 540
ASTR 541,PHYS 541
ATMS 100,GEOG 100
ATMS 120,ESE 120
ATMS 140,ESE 140
ATMS 302,PHYS 329
ATMS 311,ESE 311
ATMS 312,PHYS 330
ATMS 322,ENSU 301
ATMS 323,ENSU 302
ATMS 404,GEOL 485
ATMS 420,CEE 447
ATMS 421,ESE 421
ATMS 421,GEOG 421
ATMS 421,GEOL 481
ATMS 421,NRES 422
ATMS 425,CEE 445
ATMS 446,GEOG 496
ATMS 446,SOC 451
ATMS 502,CSE 566
ATMS 535,CEE 545
BADM 205,GEOG 205
